, UID       , Nat       , 2nd Nat   , Name                                  ,           ,           ,           ,
, 2002229336, BRA       ,           , Caimmy                                , 3         , 5         , 3         ,
, 2002229335, BRA       ,           , Matheus Gagliardi                     , 2         , 11        , 0         ,
, 2002229326, BRA       ,           , Marcílio                              , 1         , 12        , 1         ,
, 2002229325, BRA       ,           , Breno Maia                            , 1         , 16        , 1         ,
, 2002229324, BRA       ,           , Augusto Lippi                         , 1         , 11        , 0         ,
, 2002229323, BRA       , POR       , Rômulo                                , 2         , 15        , 9         ,
, 2002229322, BRA       ,           , Cássio Fernando                       , 2         , 15        , 9         ,
, 2002229321, BRA       ,           , Da Silva                              , 3         , 15        , 9         ,
, 2002229320, BRA       ,           , Tiago Moraes                          , 3         , 15        , 9         ,
, 2002229319, BRA       , POR       , Wellington                            , 2         , 11        , 1         ,
, 2002229301, CHI       ,           , Carlo Bosso                           , 1         , 11        , 1         ,
, 2002229300, CHI       ,           , Koryan Pinilla                        , 1         , 5         , 7         ,
, 2002229299, CHI       ,           , Nicholas Mura                         , 3         , 15        , 7         ,
, 2002229298, CHI       ,           , Andrés Muñoz                          , 2         , 16        , 1         ,
, 2002229297, CHI       ,           , Mathías Orellana                      , 3         , 12        , 0         ,
, 2002229296, CHI       ,           , Juan Gutiérrez                        , 3         , 15        , 7         ,
, 2002229295, BRA       ,           , Lucas Matheus Silva                   , 3         , 5         , 3         ,
, 2002229294, BRA       ,           , Luis Carlos                           , 2         , 5         , 9         ,
, 2002229293, BRA       ,           , Guilherme Henrique                    , 1         , 15        , 1         ,
, 2002229292, BRA       ,           , Thiago Navarini                       , 1         , 11        , 0         ,
, 2002229291, BRA       ,           , Rozemiro                              , 2         , 15        , 3         ,
, 2002229290, BRA       ,           , Paulo Victor                          , 1         , 15        , 0         ,
, 2002229289, BRA       ,           , Francisco José                        , 3         , 15        , 1         ,
, 2002229288, BRA       ,           , Henrique Berna                        , 2         , 11        , 0         ,
, 2002229287, BRA       ,           , Rodrigão                              , 2         , 16        , 1         ,
, 2002229286, BRA       ,           , Gonçalves                             , 1         , 16        , 1         ,
, 2002229285, BRA       ,           , Washington Luís                       , 1         , 3         , 1         ,
, 2002229284, BRA       ,           , Maviael                               , 1         , 5         , 2         ,
, 2002229283, BRA       ,           , Mimi                                  , 2         , 12        , 1         ,
, 2002229282, BRA       ,           , Ozenilde                              , 3         , 5         , 9         ,
, 2002229281, BRA       ,           , Eduardo Palhano                       , 1         , 5         , 9         ,
, 2002229276, BRA       ,           , Gílson Semedo                         , 1         , 5         , 0         ,
, 2002229275, BRA       ,           , Rogério                               , 3         , 5         , 1         ,
, 2002229274, BRA       , ITA       , Marco Antônio                         , 1         , 3         , 1         ,
, 2002229273, BRA       ,           , Anderson Imbassahy                    , 1         , 12        , 1         ,
, 2002229272, BRA       ,           , Juarez                                , 1         , 5         , 3         ,
, 2002229271, BRA       ,           , Didi                                  , 2         , 11        , 1         ,
, 2002229270, BRA       ,           , Gabriel                               , 1         , 15        , 1         ,
, 2002229269, BRA       ,           , Leandro Henrique                      , 1         , 3         , 0         ,
, 2002229268, BRA       ,           , Rafael                                , 2         , 15        , 0         ,
, 2002229267, BRA       ,           , Maicon                                , 3         , 11        , 0         ,
, 2002229266, BRA       ,           , Erick                                 , 1         , 15        , 1         ,
, 2002229265, BRA       , GER       , Eduardo                               , 1         , 10        , 0         ,
, 2002229194, BRA       ,           , Batata                                , 2         , 5         , 3         ,
, 2002229193, BRA       ,           , Gustavo                               , 2         , 5         , 0         ,
, 2002229192, BRA       ,           , Almir                                 , 2         , 2         , 0         ,
, 2002229191, BRA       ,           , Hugo Leonardo                         , 1         , 11        , 1         ,
, 2002229190, BRA       ,           , Josafá                                , 2         , 5         , 1         ,
, 2002229189, BRA       ,           , Hugo                                  , 1         , 15        , 3         ,
, 2002229188, BRA       ,           , Ronaldo Martins                       , 1         , 1         , 0         ,
, 2002229187, BRA       ,           , Tiago                                 , 1         , 16        , 1         ,
, 2002229186, BRA       ,           , Luiz Carlos                           , 3         , 3         , 1         ,
, 2002229185, BRA       ,           , Leandro                               , 2         , 7         , 0         ,
, 2002229184, BRA       ,           , Marcelo Folgosi                       , 2         , 12        , 1         ,
, 2002229183, BRA       ,           , Antônio Carlos                        , 1         , 15        , 1         ,
, 2002229091, BRA       ,           , Mazinho                               , 1         , 16        , 3         ,
, 2002229090, BRA       ,           , Eliel                                 , 1         , 16        , 3         ,
, 2002229089, BRA       , ITA       , Yan                                   , 1         , 5         , 1         ,
, 2002229088, BRA       , POR       , Tales                                 , 1         , 9         , 0         ,
, 2002229087, BRA       ,           , Caio Ripani                           , 2         , 3         , 0         ,
, 2002229086, BRA       ,           , Luiz Eduardo                          , 2         , 15        , 9         ,
, 2002229085, BRA       ,           , Júnior César                          , 3         , 15        , 3         ,
, 2002229084, BRA       ,           , Paulo Henrique                        , 2         , 5         , 3         ,
, 2002229083, BRA       ,           , Luizinho                              , 1         , 3         , 0         ,
, 2002229082, BRA       , ITA       , Beto                                  , 1         , 9         , 0         ,
, 2002229081, BRA       ,           , Adriano                               , 1         , 15        , 3         ,
, 2002229078, BRA       , ITA       , Diego Fubá                            , 2         , 11        , 0         ,
, 2002229077, BRA       ,           , Evandro                               , 1         , 15        , 9         ,
, 2002229076, BRA       ,           , Matheusinho                           , 1         , 16        , 3         ,
, 2002229075, BRA       ,           , Nélson                                , 1         , 5         , 1         ,
, 2002229074, BRA       ,           , Cássio Cavalcante                     , 1         , 12        , 0         ,
, 2002229073, BRA       ,           , Romário Grabauska                     , 1         , 3         , 1         ,
, 2002229072, BRA       ,           , Anselmo                               , 3         , 5         , 9         ,
, 2002229071, BRA       ,           , Francieudo                            , 1         , 16        , 9         ,
, 2002229070, BRA       ,           , Dângelo                               , 1         , 16        , 0         ,
, 2002229069, BRA       , GER       , Toninho                               , 1         , 3         , 0         ,
, 2002229068, BRA       ,           , Antônio Carlos                        , 2         , 16        , 9         ,
, 2002229059, BRA       ,           , João Henrique                         , 1         , 16        , 9         ,
, 2002229058, BRA       ,           , Daniel Silva Neto                     , 1         , 15        , 1         ,
, 2002229057, BRA       ,           , Cristiano                             , 2         , 5         , 1         ,
, 2002229056, COL       ,           , Juan Miguel Del Papa                  , 1         , 15        , 9         ,
, 2002229055, BRA       ,           , Joéverton Campos                      , 1         , 5         , 9         ,
, 2002229054, BRA       ,           , Marivaldo Reis                        , 2         , 15        , 1         ,
, 2002229053, BRA       ,           , Jefferson                             , 1         , 5         , 3         ,
, 2002229052, BRA       ,           , Darlan Ribeiro                        , 2         , 5         , 1         ,
, 2002229051, BRA       ,           , Leonardo                              , 2         , 12        , 1         ,
, 2002229050, BRA       ,           , Dione                                 , 2         , 5         , 9         ,
, 2002229049, LVA       ,           , Aleksandrs Semjonovs                  , 1         , 5         , 0         ,
, 2002229048, LVA       ,           , Ņikita Andrejevs                      , 1         , 11        , 0         ,
, 2002228969, BRA       ,           , Naldo                                 , 3         , 15        , 3         ,
, 2002228968, BRA       ,           , Douglas Lima                          , 2         , 16        , 9         ,
, 2002228967, BRA       ,           , Júlio Lemes                           , 2         , 5         , 3         ,
, 2002228966, BRA       , ESP       , Milsinho                              , 2         , 3         , 1         ,
, 2002228965, BRA       ,           , Arthur Torres Freitas                 , 2         , 16        , 3         ,
, 2002228964, BRA       , POR       , Saimon                                , 1         , 16        , 1         ,
, 2002228963, ARG       , BRA       , Facundo Palomeque                     , 2         , 11        , 1         ,
, 2002228962, BRA       ,           , Dalton Bonamigo                       , 3         , 5         , 1         ,
, 2002228961, BRA       ,           , Marcelo Lassance                      , 2         , 5         , 1         ,
, 2002228960, COM       , FRA       , Saïd Ben-Kamal                        , 1         , 5         , 3         ,
, 2002228957, BRA       ,           , Kleiton                               , 1         , 5         , 2         ,
, 2002228956, BRA       ,           , Róbson                                , 1         , 15        , 3         ,
, 2002228955, BRA       , POR       , Ubiratan                              , 2         , 5         , 9         ,
, 2002228954, BRA       ,           , Tande                                 , 1         , 12        , 1         ,
, 2002228953, BRA       ,           , Eliandro Del Lama                     , 3         , 15        , 3         ,
, 2002228952, BRA       ,           , Carlos Augusto                        , 3         , 5         , 3         ,
, 2002228951, BRA       ,           , Vânderson Volpe                       , 1         , 5         , 9         ,
, 2002228950, BRA       ,           , Anderson Dourado                      , 3         , 5         , 9         ,
, 2002228949, BRA       ,           , Renan Oliveira                        , 1         , 5         , 9         ,
, 2002228948, BRA       ,           , Luiz                                  , 2         , 3         , 1         ,
, 2002228947, BRA       ,           , Bruno Paulo                           , 2         , 15        , 3         ,
, 2002228946, IRL       ,           , Mark Keogh                            , 1         , 15        , 0         ,
, 2002228945, IRL       ,           , Darcy Mulcahy                         , 1         , 2         , 0         ,
, 2002228944, IRL       ,           , Correy Kilduff                        , 2         , 3         , 0         ,
, 2002228943, IRL       , GER       , Carsten Ernst                         , 2         , 12        , 0         ,
, 2002228942, IRL       ,           , Eric Brady                            , 2         , 11        , 0         ,
, 2002228941, IRL       ,           , Caoimhin Pepper                       , 1         , 3         , 0         ,
, 2002228940, SIM       , IRL       , Leonardo Palella                      , 3         , 15        , 9         ,
, 2002228939, IRL       ,           , Colm Friel                            , 1         , 12        , 0         ,
, 2002228938, IRL       , SIM       , Ramsleii Wong                         , 2         , 16        , 3         ,
, 2002228937, IRL       ,           , Thomas Reilly                         , 2         , 5         , 3         ,
, 2002228936, NIR       ,           , Ronnie Moore                          , 3         , 5         , 0         ,
, 2002228935, NIR       , IRL       , Jim McKerr                            , 1         , 3         , 0         ,
, 2002228934, NIR       , IRL       , Martin Holmes                         , 1         , 1         , 0         ,
, 2002228933, CHN       ,           , Zhang Qilin                           , 1         , 15        , 10        ,
, 2002228932, CHN       ,           , Wang Bing                             , 3         , 16        , 10        ,
, 2002228931, CHN       ,           , Bai Zheng                             , 1         , 15        , 10        ,
, 2002228930, CHN       ,           , Zheng Wei                             , 1         , 5         , 10        ,
, 2002228929, GUF       , FRA       , Sacha Labrousse                       , 2         , 11        , 0         ,
, 2002228926, PER       ,           , Roberto Ramírez                       , 1         , 16        , 3         ,
, 2002228925, PER       ,           , Rudy Villafuerte                      , 3         , 5         , 7         ,
, 2002228924, PER       ,           , Alfredo Castro                        , 3         , 15        , 7         ,
, 2002228923, PER       ,           , Carlos Ochoa                          , 2         , 9         , 0         ,
, 2002228922, PER       ,           , Jhonatan Díaz                         , 1         , 3         , 7         ,
, 2002228921, PER       ,           , Nelson Fernández                      , 1         , 3         , 1         ,
, 2002228920, USA       , MEX       , Alejandro Ayala                       , 1         , 15        , 1         ,
, 2002228919, USA       ,           , Adam Rafanello                        , 2         , 15        , 0         ,
, 2002228918, CAN       ,           , Dan Flood                             , 1         , 3         , 0         ,
, 2002228917, CAN       , SRI       , Rohan Thilak Puththisigamany          , 3         , 15        , 4         ,
, 2002228916, USA       , MEX       , Jonathan Moreno                       , 1         , 5         , 1         ,
, 2002228915, GUA       , USA       , Juan Jérez                            , 1         , 16        , 1         ,
, 2002228914, TLS       ,           , Nazário Costa                         , 1         , 16        , 8         ,
, 2002228913, GUF       , FRA       , Jean-Baptiste Mauger                  , 2         , 3         , 0         ,
, 2002228912, FRO       ,           , Tonny Drangastein                     , 3         , 2         , 0         ,
, 2002228686, KOR       ,           , Kim Jong-Kun                          , 2         , 5         , 10        ,
, 2002228685, KOR       ,           , Jeon Sang-Joon                        , 1         , 5         , 10        ,
, 2002228684, KOR       ,           , Oh Chang-Won                          , 2         , 15        , 10        ,
, 2002228683, KOR       ,           , Lee Yong-Joon                         , 1         , 16        , 10        ,
, 2002228657, SWE       , BIH       , Marko Hodžić                          , 3         , 10        , 0         ,
, 2002228656, SWE       , ALB       , Denis Berisha                         , 2         , 3         , 0         ,
, 2002228655, SWE       , IRQ       , Ali Raheem                            , 2         , 15        , 2         ,
, 2002228654, SWE       ,           , Wilgot Isesund                        , 1         , 7         , 0         ,
, 2002228653, SWE       ,           , Fredrik Torstensson                   , 2         , 16        , 3         ,
, 2002228652, SWE       ,           , Christian Hysén                       , 1         , 10        , 0         ,
, 2002228651, SWE       ,           , Bonny Nilheim                         , 3         , 10        , 0         ,
, 2002228650, SWE       ,           , Erick Gillberg                        , 2         , 12        , 0         ,
, 2002228649, SWE       ,           , Vilgot Luxenburg                      , 1         , 9         , 0         ,
, 2002228055, MAS       ,           , Shamsul Rahim                         , 3         , 15        , 5         ,
, 2002228054, MAS       ,           , Muhd Syafiq Rashid                    , 1         , 16        , 5         ,
, 2002227815, FIN       , ALB       , Ylli Celina                           , 1         , 5         , 1         ,
, 2002227814, FIN       ,           , Tuukka Kuusela                        , 1         , 10        , 0         ,
, 2002227813, FIN       ,           , Niko Lahtinen                         , 3         , 11        , 0         ,
, 2002227812, FIN       ,           , Otto Eklund                           , 2         , 10        , 0         ,
, 2002227113, ISL       ,           , Bjarki Marinó Antonsson               , 2         , 12        , 0         ,
, 2002227112, ISL       ,           , Valtýr Páll Hjaltalín                 , 1         , 16        , 0         ,
, 2002226850, ISL       ,           , Oliver Þórarinsson                    , 1         , 10        , 0         ,
, 2002226849, ISL       ,           , Adam Ægir Hjörleifsson                , 2         , 12        , 0         ,
, 2002220158, FRA       ,           , Anthony Pain                          , 2         , 7         , 0         ,
, 2002220157, ITA       ,           , Tommaso Di Addario                    , 2         , 3         , 1         ,
, 2002220156, ESP       ,           , Raúl Caneda                           , 3         , 12        , 1         ,
, 2002220155, ESP       ,           , David Soro                            , 2         , 15        , 2         ,
, 2002220151, ESP       ,           , Francisco                             , 1         , 15        , 1         ,
, 2002220150, ESP       ,           , Ricardo                               , 1         , 15        , 1         ,
, 2002220149, ESP       ,           , Armando                               , 1         , 12        , 1         ,
, 2002220142, ESP       , BAS       , Josué Goñi                            , 2         , 5         , 1         ,
, 2002220141, ESP       , BAS       , Hugo Burgos                           , 1         , 15        , 1         ,
, 2002220140, ESP       , BAS       , Kevin Ugarte                          , 3         , 3         , 1         ,
, 2002220139, ESP       , BAS       , Aitor Murillo                         , 2         , 12        , 1         ,
, 2002220138, ESP       , BAS       , Rubén Imaz                            , 1         , 11        , 1         ,
, 2002220137, ESP       , BAS       , Xabier Bidaurrázaga                   , 1         , 16        , 1         ,
, 2002220133, ESP       ,           , Héctor Vidal                          , 1         , 16        , 1         ,
, 2002220132, MLI       , FRA       , Sanoussy Konaré                       , 1         , 5         , 3         ,
, 2002220131, ESP       , NGA       , Sunny Olufade                         , 3         , 16        , 3         ,
, 2002220130, ESP       ,           , Pablo                                 , 2         , 18        , 1         ,
, 2002220129, ESP       ,           , Alejandro Martín                      , 2         , 16        , 1         ,
, 2002220122, ESP       ,           , Agustín Novo                          , 2         , 5         , 2         ,
, 2002220121, ESP       ,           , Nelson Benítez                        , 1         , 16        , 1         ,
, 2002220120, ESP       ,           , Yadel Fumero                          , 1         , 5         , 1         ,
, 2002220119, ESP       ,           , Abián Darias                          , 2         , 5         , 1         ,
, 2002220118, ESP       , GNB       , Saido Silva                           , 2         , 15        , 3         ,
, 2002220117, ESP       , SEN       , Lamine Mendy                          , 2         , 15        , 3         ,
, 2002220116, ESP       ,           , Jonay Arrocha                         , 1         , 5         , 1         ,
, 2002220115, ESP       ,           , Garoé Uhía                            , 1         , 5         , 1         ,
, 2002220114, ESP       ,           , Ale Ortuño                            , 3         , 5         , 1         ,
, 2002220113, ESP       ,           , Derek Guanche                         , 1         , 12        , 1         ,
, 2002220109, URU       , ITA       , Andrea Marinaro                       , 1         , 12        , 1         ,
, 2002220108, ESP       ,           , Acorán Alonso                         , 2         , 15        , 1         ,
, 2002220107, ITA       ,           , Antonio Aleo                          , 1         , 15        , 1         ,
, 2002220106, ESP       , ARG       , Tiago Mustafá                         , 1         , 5         , 1         ,
, 2002220105, ESP       ,           , Azael                                 , 2         , 5         , 1         ,
, 2002220104, ESP       ,           , Yadel Plasencia                       , 1         , 5         , 1         ,
, 2002220103, ESP       ,           , Semidán                               , 2         , 5         , 1         ,
, 2002220102, ESP       ,           , Manuel Suárez                         , 3         , 15        , 1         ,
, 2002220101, ESP       ,           , Acorán Arbelo                         , 1         , 5         , 1         ,
, 2002220100, ESP       ,           , Sergio                                , 1         , 11        , 1         ,
, 2002220099, ESP       ,           , Ayoze                                 , 2         , 3         , 1         ,
, 2002220098, FRA       ,           , Julien Le Calvez                      , 2         , 1         , 0         ,
, 2002220097, ESP       ,           , Juan Cobo                             , 1         , 11        , 1         ,
, 2002220093, ESP       ,           , David Tomás                           , 1         , 11        , 1         ,
, 2002220092, DOM       , ESP       , Elpidio Mercedes                      , 1         , 11        , 1         ,
, 2002220091, ESP       ,           , Carlos Bordalás                       , 1         , 15        , 1         ,
, 2002220090, ALB       , GRE       , Edmond Abazi                          , 1         , 15        , 2         ,
, 2002219698, IDN       ,           , Rahman Fakdawer                       , 1         , 16        , 5         ,
, 2002219697, IDN       ,           , Gede Budiman                          , 1         , 15        , 5         ,
, 2002219425, TUR       , GER       , Furkan Ata                            , 2         , 15        , 2         ,
, 2002219424, USA       , GER       , Alex Velázquez                        , 3         , 15        , 0         ,
, 2002219423, SRB       , GER       , Aleksandar Ilić                       , 2         , 15        , 1         ,
, 2002219422, GER       , USA       , Andrew McFadden                       , 1         , 8         , 0         ,
, 2002219421, GER       , ITA       , Manuel Greco                          , 1         , 9         , 0         ,
, 2002219420, AUT       , GER       , Josef Bamberger                       , 1         , 2         , 0         ,
, 2002219419, GER       ,           , Niclas Stiller                        , 3         , 12        , 0         ,
, 2002219418, GER       ,           , Cedric Hildebrandt                    , 3         , 3         , 0         ,
, 2002219417, GER       ,           , Moritz Wenzl                          , 2         , 11        , 0         ,
, 2002219416, GER       , ALB       , Erblin Lika                           , 1         , 12        , 1         ,
, 2002219415, AUT       , GER       , Thorsten Schrott                      , 2         , 9         , 0         ,
, 2002219414, GER       , CIV       , Ibrahim Koffi                         , 3         , 16        , 3         ,
, 2002219413, GER       , TPE       , Lin Ho-han                            , 1         , 16        , 10        ,
, 2002219409, GER       , SRB       , Ognjen Krmar                          , 3         , 9         , 0         ,
, 2002219408, GER       ,           , Linus Aggensteiner                    , 1         , 3         , 0         ,
, 2002219407, GER       , TUR       , Ramazan Tunçer                        , 1         , 15        , 2         ,
, 2002219406, GER       ,           , Christian Wächter                     , 1         , 16        , 0         ,
, 2002219405, LUX       , GER       , Tom Morais                            , 1         , 16        , 0         ,
, 2002219404, BIH       , GER       , Asim Causević                         , 1         , 9         , 0         ,
, 2002219403, GER       ,           , Nico Cezanne                          , 1         , 11        , 0         ,
, 2002219402, GER       , GRE       , Kostas Siantos                        , 3         , 15        , 1         ,
, 2002219401, GER       ,           , Michael Borchardt                     , 2         , 16        , 0         ,
, 2002219400, AUT       , GER       , Michael Bereuter                      , 1         , 1         , 0         ,
, 2002219399, BIH       , GER       , Edis Spahalic                         , 2         , 11        , 1         ,
, 2002219398, GER       , ITA       , Francesco Riccelli                    , 3         , 3         , 0         ,
, 2002219397, GER       ,           , Adrian Pieper                         , 3         , 11        , 0         ,
, 2002219390, GER       ,           , Marlon Eifler                         , 2         , 8         , 0         ,
, 2002219389, GER       ,           , Andreas Bergjohann                    , 3         , 11        , 0         ,
, 2002219388, GER       ,           , Tim Baumgarten                        , 1         , 1         , 0         ,
, 2002219387, GER       ,           , Christian Müller                      , 2         , 8         , 0         ,
, 2002219386, GER       ,           , Yannick Höcker                        , 1         , 2         , 0         ,
, 2002219385, GER       ,           , Maximilian Ambs                       , 2         , 3         , 0         ,
, 2002219381, GER       , ESP       , Raúl Millán                           , 1         , 5         , 1         ,
, 2002219380, GER       ,           , Mario Aden                            , 3         , 5         , 0         ,
, 2002219379, GER       ,           , Winfried Schaider                     , 1         , 8         , 0         ,
, 2002219378, GER       , TUR       , Oğuzhan Uçar                          , 3         , 15        , 1         ,
, 2002219377, GER       ,           , Mario Ackemann                        , 3         , 12        , 0         ,
, 2002219376, GER       ,           , Tobias Walther                        , 1         , 12        , 0         ,
, 2002219375, GER       ,           , Winfried Beierkuhnlein                , 2         , 11        , 0         ,
, 2002219374, GER       ,           , Romario Handle                        , 3         , 10        , 0         ,
, 2002219373, GER       , ITA       , Christian Borsani                     , 1         , 16        , 0         ,
, 2002219372, GER       ,           , Fabio Heyen                           , 1         , 3         , 0         ,
, 2002219371, GER       ,           , Maurice Bauer                         , 1         , 12        , 0         ,
, 2002219370, GER       ,           , Lucas Ritter                          , 2         , 10        , 0         ,
, 2002219369, GER       , POL       , Rafał Buczek                          , 3         , 12        , 0         ,
, 2002219365, HUN       , GER       , Adrián Koval                          , 1         , 1         , 0         ,
, 2002219364, TUR       , GER       , Deniz Oktay                           , 1         , 5         , 2         ,
, 2002219363, GER       ,           , Matthias Altus                        , 1         , 15        , 0         ,
, 2002219362, GER       , SRB       , Milić Popović                         , 2         , 16        , 0         ,
, 2002219361, GER       ,           , Reinhard Spinrath                     , 1         , 16        , 0         ,
, 2002219360, GER       ,           , Julian Esters                         , 2         , 11        , 0         ,
, 2002219359, GER       ,           , Phil Noll                             , 1         , 1         , 0         ,
, 2002219358, GER       ,           , Lukas Eckmann                         , 1         , 5         , 0         ,
, 2002219357, GER       ,           , Helge Mikolajczak                     , 1         , 3         , 0         ,
, 2002219356, GER       , TUR       , Harun Çakır                           , 1         , 15        , 2         ,
, 2002219355, GER       ,           , Henri Talarski                        , 3         , 3         , 0         ,
, 2002219354, TUR       , GER       , Oltan Karaal                          , 3         , 3         , 1         ,
, 2002219350, AUT       , GER       , Mathias Halper                        , 3         , 11        , 0         ,
, 2002219349, LUX       , GER       , Daniel Bernard                        , 2         , 2         , 0         ,
, 2002219348, POL       , GER       , Borys Salik                           , 1         , 3         , 0         ,
, 2002219347, COD       , GER       , Marvin Zola                           , 2         , 15        , 3         ,
, 2002219346, GER       , TUR       , İbrahim İnan                          , 3         , 5         , 1         ,
, 2002219345, GER       ,           , Tobias Minkwitz                       , 2         , 11        , 0         ,
, 2002219341, GER       ,           , Marius Badura                         , 3         , 11        , 0         ,
, 2002219340, GER       ,           , Jacob Peter                           , 1         , 2         , 0         ,
, 2002219339, POL       , GER       , Wiktor Ziarkowski                     , 1         , 3         , 0         ,
, 2002219335, GER       ,           , Philipp Adelsbach                     , 3         , 1         , 0         ,
, 2002219334, GER       ,           , Patric Wölfinger                      , 2         , 3         , 0         ,
, 2002219333, TUR       , GER       , Zeki Güvenç                           , 1         , 5         , 2         ,
, 2002219332, GER       ,           , Stefan Hellmann                       , 1         , 5         , 2         ,
, 2002219331, GER       , ITA       , Emiliano Parma                        , 1         , 16        , 1         ,
, 2002219330, LUX       , GER       , Sven Schmit                           , 1         , 16        , 1         ,
, 2002219329, GER       ,           , Philipp Braun                         , 1         , 11        , 0         ,
, 2002219328, MOZ       , GER       , Wilson Timane                         , 2         , 5         , 3         ,
, 2002219327, LIB       , GER       , Yousef Mezher                         , 3         , 15        , 2         ,
, 2002219326, GER       , POL       , Patryk Polak                          , 1         , 4         , 0         ,
, 2002219325, GER       , ITA       , Daniele Paradisi                      , 1         , 5         , 1         ,
, 2002219324, GER       , TUR       , Muammer Eroğlu                        , 1         , 2         , 0         ,
, 2002219323, GER       ,           , Leonardo Schneider                    , 1         , 10        , 0         ,
, 2002219319, RUS       , GER       , Maxim Dovbnya                         , 3         , 3         , 0         ,
, 2002219318, GER       ,           , Damion Weigl                          , 2         , 2         , 0         ,
, 2002219317, GER       , AUT       , Christoph Klöckl                      , 1         , 3         , 0         ,
, 2002219316, GER       ,           , Anton Himsl                           , 2         , 12        , 0         ,
, 2002219315, KOS       , GER       , Rinor Hasani                          , 3         , 15        , 1         ,
, 2002219314, GER       ,           , Finn Steinborn                        , 1         , 2         , 0         ,
, 2002219313, GER       , COD       , Chancel Zola                          , 1         , 16        , 3         ,
, 2002219312, GER       ,           , Julien-Lee Hirtlreiter                , 2         , 2         , 0         ,
, 2002219308, FRA       , GER       , Thomas Alves                          , 1         , 11        , 0         ,
, 2002219304, GER       ,           , Matthias Adlberger                    , 3         , 9         , 0         ,
, 2002219303, GER       ,           , Tim Kahlisch                          , 1         , 11        , 0         ,
, 2002219302, GER       ,           , Carsten Frembs                        , 1         , 15        , 0         ,
, 2002219301, GER       ,           , Maurice Krüger                        , 1         , 15        , 0         ,
, 2002219300, GER       ,           , Lukas Vierling                        , 3         , 16        , 0         ,
, 2002219299, GER       ,           , Holger Müller                         , 2         , 3         , 0         ,
, 2002219298, GER       ,           , Luca Rückert                          , 2         , 3         , 0         ,
, 2002219297, GER       ,           , Johannes Vierling                     , 1         , 3         , 0         ,
, 2002219296, GER       ,           , Stefan Alberding                      , 3         , 3         , 0         ,
, 2002219295, GER       ,           , Jamal Abrecht                         , 1         , 16        , 0         ,
, 2002219294, GER       ,           , Andreas Bräuer                        , 2         , 15        , 0         ,
, 2002219293, GER       ,           , Thorben Kuchno                        , 3         , 11        , 0         ,
, 2002219292, GER       ,           , Kevin Betz                            , 1         , 12        , 0         ,
, 2002219288, GER       ,           , David Neumann                         , 3         , 3         , 0         ,
, 2002219287, GER       ,           , Raphael Bock                          , 1         , 12        , 0         ,
, 2002219286, TUR       , GER       , Ahad Dülger                           , 1         , 5         , 1         ,
, 2002219285, GER       , ESP       , José Antonio Ferreira                 , 1         , 3         , 1         ,
, 2002219284, GER       ,           , Nico Henneke                          , 1         , 9         , 0         ,
, 2002219283, TUR       , GER       , Bilal Türk                            , 1         , 10        , 0         ,
, 2002219282, GER       ,           , Sebastian Meister                     , 2         , 11        , 0         ,
, 2002219281, TUN       , GER       , Hassen Touati                         , 2         , 5         , 2         ,
, 2002219280, BIH       , GER       , Amer Milošević                        , 2         , 11        , 0         ,
, 2002219276, GER       ,           , Michael Dörfler                       , 1         , 12        , 0         ,
, 2002219275, TUR       , GER       , Yetkin Aleçakır                       , 3         , 5         , 1         ,
, 2002219274, GER       ,           , Dejan Sökler                          , 1         , 2         , 0         ,
, 2002219273, GER       ,           , Heiko Trittel                         , 1         , 12        , 0         ,
, 2002219272, GER       , NGA       , Kingsley Uche                         , 3         , 15        , 3         ,
, 2002219271, GER       , POL       , Damian Wenerski                       , 2         , 1         , 0         ,
, 2002219270, GER       ,           , Emil Bürkel                           , 1         , 12        , 0         ,
, 2002219269, GER       , SRB       , Branko Samardžić                      , 1         , 5         , 0         ,
, 2002219268, GER       , RUS       , Victor Kotov                          , 1         , 2         , 0         ,
, 2002219267, GER       , GHA       , Emmanuel Owusu                        , 2         , 5         , 3         ,
, 2002219266, GER       , KOS       , Fitim Brahimi                         , 1         , 15        , 0         ,
, 2002219265, DEN       , GER       , Kristian Midtgaard                    , 1         , 16        , 0         ,
, 2002219264, GER       , GHA       , Charles Tetteh                        , 2         , 16        , 3         ,
, 2002219260, GER       , USA       , Marco Steffen                         , 3         , 12        , 0         ,
, 2002219259, CRC       , GER       , Randy Alfaro                          , 2         , 5         , 1         ,
, 2002219258, GER       ,           , Maximilian Marx                       , 1         , 9         , 0         ,
, 2002219257, GER       , POL       , Krzysztof Jaros                       , 3         , 15        , 0         ,
, 2002219256, GER       ,           , Nicklas Gruda                         , 2         , 2         , 0         ,
, 2002219255, GER       ,           , Wanja Bückle                          , 1         , 8         , 0         ,
, 2002219254, SUI       , GER       , Louis Borne                           , 2         , 3         , 0         ,
, 2002219253, GER       , KAZ       , Erkebulan Nazarov                     , 2         , 15        , 10        ,
, 2002219252, LUX       , GER       , Filipe Moro                           , 3         , 5         , 1         ,
, 2002219251, GER       , POR       , Jorge Reis                            , 1         , 3         , 1         ,
, 2002219250, GER       ,           , Heinz Müller                          , 1         , 9         , 0         ,
, 2002219249, POL       , GER       , Kacper Herman                         , 3         , 2         , 0         ,
, 2002219245, GER       ,           , Andreas Vorbeck                       , 3         , 3         , 0         ,
, 2002219244, GER       ,           , Jonas Sprang                          , 1         , 12        , 0         ,
